NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.15789E+03  0.15795E+03  0.15802E+03  0.15815E+03  0.15839E+03  0.15872E+03
  0.15905E+03  0.15932E+03  0.15949E+03  0.15956E+03  0.15956E+03  0.15949E+03
  0.15937E+03  0.15920E+03  0.15900E+03  0.15875E+03  0.15848E+03  0.15819E+03
  0.15790E+03  0.15763E+03  0.15739E+03  0.15716E+03  0.15697E+03  0.15697E+03
  0.15681E+03  0.15669E+03  0.15659E+03  0.15654E+03  0.15651E+03  0.15651E+03
  0.15654E+03  0.15658E+03  0.15663E+03  0.15670E+03  0.15679E+03  0.15690E+03
  0.15703E+03  0.15715E+03  0.15724E+03  0.15729E+03  0.15731E+03  0.15735E+03
  0.15747E+03  0.15768E+03  0.15792E+03  0.15812E+03  0.15827E+03  0.15837E+03
  0.15845E+03  0.15850E+03  0.15853E+03  0.15854E+03  0.15852E+03  0.15848E+03
  0.15842E+03  0.15834E+03  0.15826E+03  0.15820E+03  0.15815E+03  0.16100E+03
  0.16109E+03  0.16120E+03  0.16129E+03  0.16138E+03  0.16145E+03  0.16149E+03
  0.16151E+03  0.16150E+03  0.16149E+03  0.16149E+03  0.16152E+03  0.16159E+03
  0.16169E+03  0.16182E+03  0.16192E+03  0.16199E+03  0.16210E+03  0.16230E+03
  0.16260E+03  0.16294E+03  0.16328E+03  0.16359E+03  0.16387E+03  0.16412E+03
  0.16432E+03  0.16449E+03  0.16460E+03  0.16466E+03  0.16465E+03  0.16457E+03
  0.16443E+03  0.16426E+03  0.16407E+03  0.16387E+03  0.16366E+03  0.16346E+03
  0.16346E+03  0.16327E+03  0.16309E+03  0.16292E+03  0.16277E+03  0.16264E+03
  0.16252E+03  0.16240E+03  0.16227E+03  0.16215E+03  0.16204E+03  0.16196E+03
  0.16192E+03  0.16190E+03  0.16192E+03  0.16194E+03  0.16195E+03  0.16193E+03
  0.16192E+03  0.16196E+03  0.16201E+03  0.16202E+03  0.16195E+03  0.16179E+03
  0.16160E+03  0.16141E+03  0.16125E+03  0.16112E+03  0.16101E+03  0.16094E+03
  0.16089E+03  0.16085E+03  0.16083E+03  0.16084E+03  0.16088E+03  0.16093E+03
  0.16492E+03  0.16503E+03  0.16514E+03  0.16525E+03  0.16536E+03  0.16549E+03
  0.16562E+03  0.16575E+03  0.16591E+03  0.16610E+03  0.16634E+03  0.16663E+03
  0.16697E+03  0.16732E+03  0.16763E+03  0.16781E+03  0.16784E+03  0.16776E+03
  0.16767E+03  0.16759E+03  0.16756E+03  0.16755E+03  0.16757E+03  0.16765E+03
  0.16777E+03  0.16794E+03  0.16814E+03  0.16836E+03  0.16860E+03  0.16881E+03
  0.16898E+03  0.16909E+03  0.16915E+03  0.16916E+03  0.16910E+03  0.16899E+03
  0.16883E+03  0.16883E+03  0.16861E+03  0.16834E+03  0.16805E+03  0.16774E+03
  0.16741E+03  0.16709E+03  0.16679E+03  0.16653E+03  0.16633E+03  0.16622E+03
  0.16622E+03  0.16633E+03  0.16654E+03  0.16682E+03  0.16714E+03  0.16745E+03
  0.16773E+03  0.16794E+03  0.16808E+03  0.16811E+03  0.16797E+03  0.16762E+03
  0.16713E+03  0.16658E+03  0.16606E+03  0.16561E+03  0.16525E+03  0.16499E+03
  0.16482E+03  0.16472E+03  0.16467E+03  0.16466E+03  0.16469E+03  0.16475E+03
  0.16483E+03  0.17116E+03  0.17123E+03  0.17134E+03  0.17148E+03  0.17164E+03
  0.17185E+03  0.17207E+03  0.17232E+03  0.17258E+03  0.17287E+03  0.17319E+03
  0.17353E+03  0.17387E+03  0.17417E+03  0.17435E+03  0.17433E+03  0.17407E+03
  0.17367E+03  0.17324E+03  0.17286E+03  0.17256E+03  0.17232E+03  0.17216E+03
  0.17206E+03  0.17202E+03  0.17203E+03  0.17208E+03  0.17219E+03  0.17236E+03
  0.17255E+03  0.17275E+03  0.17293E+03  0.17307E+03  0.17314E+03  0.17316E+03
  0.17310E+03  0.17297E+03  0.17297E+03  0.17277E+03  0.17250E+03  0.17221E+03
  0.17190E+03  0.17160E+03  0.17133E+03  0.17111E+03  0.17100E+03  0.17100E+03
  0.17112E+03  0.17137E+03  0.17168E+03  0.17204E+03  0.17242E+03  0.17280E+03
  0.17316E+03  0.17347E+03  0.17374E+03  0.17398E+03  0.17415E+03  0.17415E+03
  0.17392E+03  0.17352E+03  0.17305E+03  0.17259E+03  0.17220E+03  0.17188E+03
  0.17164E+03  0.17146E+03  0.17134E+03  0.17124E+03  0.17117E+03  0.17113E+03
  0.17111E+03  0.17112E+03  0.18028E+03  0.18033E+03  0.18036E+03  0.18038E+03
  0.18040E+03  0.18042E+03  0.18045E+03  0.18046E+03  0.18046E+03  0.18045E+03
  0.18042E+03  0.18034E+03  0.18019E+03  0.17993E+03  0.17951E+03  0.17885E+03
  0.17799E+03  0.17710E+03  0.17637E+03  0.17591E+03  0.17570E+03  0.17570E+03
  0.17585E+03  0.17611E+03  0.17640E+03  0.17669E+03  0.17697E+03  0.17725E+03
  0.17757E+03  0.17791E+03  0.17826E+03  0.17859E+03  0.17888E+03  0.17909E+03
  0.17922E+03  0.17929E+03  0.17925E+03  0.17925E+03  0.17913E+03  0.17893E+03
  0.17869E+03  0.17843E+03  0.17815E+03  0.17788E+03  0.17766E+03  0.17750E+03
  0.17740E+03  0.17735E+03  0.17730E+03  0.17720E+03  0.17704E+03  0.17682E+03
  0.17661E+03  0.17644E+03  0.17636E+03  0.17647E+03  0.17680E+03  0.17731E+03
  0.17784E+03  0.17824E+03  0.17849E+03  0.17866E+03  0.17880E+03  0.17895E+03
  0.17910E+03  0.17926E+03  0.17944E+03  0.17962E+03  0.17977E+03  0.17991E+03
  0.18004E+03  0.18015E+03  0.18022E+03  0.18958E+03  0.18960E+03  0.18945E+03
  0.18914E+03  0.18870E+03  0.18819E+03  0.18762E+03  0.18700E+03  0.18635E+03
  0.18569E+03  0.18501E+03  0.18427E+03  0.18344E+03  0.18249E+03  0.18137E+03
  0.18005E+03  0.17863E+03  0.17738E+03  0.17656E+03  0.17628E+03  0.17649E+03
  0.17708E+03  0.17792E+03  0.17890E+03  0.17992E+03  0.18089E+03  0.18176E+03
  0.18256E+03  0.18330E+03  0.18401E+03  0.18471E+03  0.18539E+03  0.18599E+03
  0.18651E+03  0.18693E+03  0.18722E+03  0.18735E+03  0.18735E+03  0.18731E+03
  0.18713E+03  0.18684E+03  0.18647E+03  0.18603E+03  0.18556E+03  0.18506E+03
  0.18454E+03  0.18397E+03  0.18330E+03  0.18247E+03  0.18147E+03  0.18031E+03
  0.17909E+03  0.17790E+03  0.17688E+03  0.17616E+03  0.17591E+03  0.17624E+03
  0.17708E+03  0.17819E+03  0.17932E+03  0.18035E+03  0.18129E+03  0.18218E+03
  0.18303E+03  0.18386E+03  0.18469E+03  0.18553E+03  0.18635E+03  0.18714E+03
  0.18787E+03  0.18851E+03  0.18903E+03  0.18939E+03  0.19476E+03  0.19477E+03
  0.19449E+03  0.19393E+03  0.19316E+03  0.19222E+03  0.19118E+03  0.19008E+03
  0.18894E+03  0.18782E+03  0.18668E+03  0.18550E+03  0.18424E+03  0.18288E+03
  0.18136E+03  0.17972E+03  0.17812E+03  0.17690E+03  0.17637E+03  0.17664E+03
  0.17759E+03  0.17901E+03  0.18070E+03  0.18251E+03  0.18428E+03  0.18592E+03
  0.18739E+03  0.18868E+03  0.18981E+03  0.19085E+03  0.19182E+03  0.19274E+03
  0.19359E+03  0.19435E+03  0.19499E+03  0.19547E+03  0.19573E+03  0.19573E+03
  0.19575E+03  0.19556E+03  0.19521E+03  0.19474E+03  0.19416E+03  0.19349E+03
  0.19273E+03  0.19184E+03  0.19079E+03  0.18949E+03  0.18790E+03  0.18603E+03
  0.18391E+03  0.18165E+03  0.17941E+03  0.17738E+03  0.17580E+03  0.17493E+03
  0.17497E+03  0.17584E+03  0.17725E+03  0.17885E+03  0.18043E+03  0.18191E+03
  0.18331E+03  0.18462E+03  0.18588E+03  0.18713E+03  0.18840E+03  0.18966E+03
  0.19087E+03  0.19202E+03  0.19304E+03  0.19387E+03  0.19446E+03  0.19394E+03
  0.19400E+03  0.19378E+03  0.19329E+03  0.19259E+03  0.19173E+03  0.19076E+03
  0.18971E+03  0.18864E+03  0.18756E+03  0.18647E+03  0.18532E+03  0.18407E+03
  0.18272E+03  0.18124E+03  0.17969E+03  0.17829E+03  0.17746E+03  0.17754E+03
