GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.98465E+02  0.98453E+02  0.98439E+02  0.98425E+02  0.98410E+02  0.98396E+02
  0.98384E+02  0.98372E+02  0.98363E+02  0.98359E+02  0.98357E+02  0.98357E+02
  0.98359E+02  0.98362E+02  0.98364E+02  0.98364E+02  0.98366E+02  0.98372E+02
  0.98384E+02  0.98394E+02  0.98398E+02  0.98395E+02  0.98386E+02  0.98377E+02
  0.98367E+02  0.98359E+02  0.98352E+02  0.98347E+02  0.98343E+02  0.98339E+02
  0.98336E+02  0.98334E+02  0.98332E+02  0.98330E+02  0.10050E+03  0.10050E+03
  0.10050E+03  0.10050E+03  0.10050E+03  0.10050E+03  0.10050E+03  0.10050E+03
  0.10050E+03  0.10050E+03  0.10051E+03  0.10051E+03  0.10051E+03  0.10051E+03
  0.10050E+03  0.10048E+03  0.10045E+03  0.10043E+03  0.10041E+03  0.10041E+03
  0.10042E+03  0.10043E+03  0.10044E+03  0.10045E+03  0.10047E+03  0.10049E+03
  0.10051E+03  0.10053E+03  0.10054E+03  0.10056E+03  0.10058E+03  0.10059E+03
  0.10061E+03  0.10062E+03  0.10062E+03  0.10062E+03  0.10062E+03  0.10062E+03
  0.10061E+03  0.10060E+03  0.10058E+03  0.10056E+03  0.10054E+03  0.10052E+03
  0.10050E+03  0.10049E+03  0.10047E+03  0.10046E+03  0.10044E+03  0.10044E+03
  0.10043E+03  0.10042E+03  0.10041E+03  0.10041E+03  0.10040E+03  0.10040E+03
  0.10041E+03  0.10044E+03  0.10046E+03  0.10047E+03  0.10048E+03  0.10048E+03
  0.10048E+03  0.10048E+03  0.10048E+03  0.10048E+03  0.10048E+03  0.10048E+03
  0.10049E+03  0.10049E+03  0.10049E+03  0.10049E+03  0.10049E+03  0.10276E+03
  0.10276E+03  0.10276E+03  0.10275E+03  0.10274E+03  0.10273E+03  0.10272E+03
  0.10270E+03  0.10269E+03  0.10268E+03  0.10266E+03  0.10265E+03  0.10264E+03
  0.10262E+03  0.10259E+03  0.10255E+03  0.10251E+03  0.10247E+03  0.10244E+03
  0.10244E+03  0.10246E+03  0.10248E+03  0.10251E+03  0.10254E+03  0.10258E+03
  0.10262E+03  0.10265E+03  0.10268E+03  0.10272E+03  0.10275E+03  0.10278E+03
  0.10280E+03  0.10283E+03  0.10285E+03  0.10286E+03  0.10287E+03  0.10287E+03
  0.10287E+03  0.10286E+03  0.10284E+03  0.10282E+03  0.10280E+03  0.10277E+03
  0.10274E+03  0.10271E+03  0.10268E+03  0.10265E+03  0.10262E+03  0.10259E+03
  0.10256E+03  0.10253E+03  0.10250E+03  0.10247E+03  0.10244E+03  0.10243E+03
