GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=300, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.93667E+02  0.93702E+02  0.93732E+02  0.93758E+02  0.93781E+02  0.93801E+02
  0.93820E+02  0.93835E+02  0.93848E+02  0.93858E+02  0.93865E+02  0.93870E+02
  0.93872E+02  0.93873E+02  0.93871E+02  0.93867E+02  0.93862E+02  0.93854E+02
  0.93854E+02  0.93844E+02  0.93833E+02  0.93820E+02  0.93807E+02  0.93792E+02
  0.93777E+02  0.93762E+02  0.93747E+02  0.93731E+02  0.93715E+02  0.93702E+02
  0.93690E+02  0.93682E+02  0.93676E+02  0.93672E+02  0.93669E+02  0.93666E+02
  0.93664E+02  0.93669E+02  0.93680E+02  0.93696E+02  0.93711E+02  0.93722E+02
  0.93729E+02  0.93732E+02  0.93732E+02  0.93732E+02  0.93731E+02  0.93732E+02
  0.93734E+02  0.93737E+02  0.93740E+02  0.93743E+02  0.93745E+02  0.93745E+02
  0.95798E+02  0.95798E+02  0.95797E+02  0.95793E+02  0.95785E+02  0.95774E+02
  0.95760E+02  0.95743E+02  0.95725E+02  0.95708E+02  0.95692E+02  0.95679E+02
  0.95669E+02  0.95662E+02  0.95658E+02  0.95657E+02  0.95662E+02  0.95679E+02
  0.95709E+02  0.95751E+02  0.95795E+02  0.95835E+02  0.95871E+02  0.95903E+02
  0.95933E+02  0.95960E+02  0.95983E+02  0.96003E+02  0.96018E+02  0.96030E+02
  0.96038E+02  0.96043E+02  0.96046E+02  0.96046E+02  0.96044E+02  0.96039E+02
  0.96032E+02  0.96032E+02  0.96022E+02  0.96010E+02  0.95996E+02  0.95982E+02
  0.95966E+02  0.95950E+02  0.95934E+02  0.95918E+02  0.95901E+02  0.95885E+02
  0.95872E+02  0.95861E+02  0.95854E+02  0.95849E+02  0.95846E+02  0.95841E+02
  0.95832E+02  0.95825E+02  0.95822E+02  0.95826E+02  0.95832E+02  0.95834E+02
  0.95830E+02  0.95822E+02  0.95811E+02  0.95799E+02  0.95789E+02  0.95783E+02
